,Date:,Time:,Location:,Operator:,Flight #:,Route:,AC  Type:,Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
ACCIDENT DETAILS,"August 16, 2015",1455,"Tangok mountain, Papua",Trigana Air Service,267,Jayapura- Oksibil,ATR 42-300,PK-YRN,102,54 (passengers:49 crew:5),54 (passengers:49 crew:5),0,The passenger plane crashed into Tangok mountain located in a remote area of Papua's eastern most provence. There was no distress call from the aircraft. High winds and heavy rain was reported in the accident area.
ACCIDENT DETAILS,"September 05, 2015",1908,"Off Dakar, Near Dioubel, Senegal",Senegalair,71,Ouagadougou - Dakar,Hawker Siddeley HS-125,6V-AIM,257062,7 (passengers:5 crew:2),7 (passengers:2 crew:5),0,"The air ambulance went missing while on a medical flight. Seven people were on board, including two pilots from Algeria, a flight engineer from Congo, three Senegalese medical crew and a French patient."
ACCIDENT DETAILS,"September 15, 2015",0624,"Iliamna East Wind Lake, Alaska",Rainbow King Lodge,?,Iliamna - Remote lake,de Havilland Canada DHC 3T Turbine Otter,N928PK,61,7 (passengers:6 crew:1),3 (passengers:3 crew:0),0,"While on the way to a remote fishing site, the non-sceduled passenger float plane crashed in trees as it attempted to take off. Three of the passengers were killed."
ACCIDENT DETAILS,"October 02, 2015",0019,"Jalalabad, Afghanistan",Military - U.S. Army,?,?,Lockheed C-130J Hercules,?,?,11 (passengers:5 crew:6),11 (passengers:5 crew:6),2,"The military transport crashed while taking off from Jalalabad Airport. Five crew members, 5 passengers and 2 on the ground were killed."
ACCIDENT DETAILS,"October 02, 2015",1429,"Near Masamba, Indonesia",Avistar Mandari,7503,Masamba - Makassar,de Havilland DHC-6 Twin Otter,PK-BRM,741,10 (passengers:7 crew:3),10 (passengers:7 crew:3),0,The aircraft went missing minutes after talking off from the airport. Seven passengers and three crew were on board. Wreckage was located on Mount Latimojong.
ACCIDENT DETAILS,"October 31, 2015",0830,"Near Ilaga, Indonesia",Trigana Air Service,?,Timik - Ilaga,de Havilland DCH-4T Caribou,PK-SWW,303,4 (passengers:0 crew:4),4 (passengers:0 crew:4),0,"The cargo plane carrying construction materials, hit the slope of a mountain in Iiaga Pass, 12 km south of Ilaga airport and disintegrated upon impact."
ACCIDENT DETAILS,"October 31, 2015",0613,"Near Hasna, Egypt",Metrojet,9268,Sharem el Sheikh - St. Petersburg,Airbus A321-231,EI-ETJ,663,224 (passengers:217 crew:7),224 (passengers:217 crew:7),0,"Approximate 25 minutes after taking off from Sharem el Sheikh airport, radar contact was lost with the airliner. Wreckage was found near Hasna in the north Sinai. The aircraft was flying at about 30,000 feet when contact with the plane was lost. The aircraft was brought down by a homemade explosive device."
ACCIDENT DETAILS,"November 04, 2015",0900,"Juba, South Sudan",Allied Services Limited,?,Juba - Paloich,Antonov 12BK,EY-406,1347704,43 (passengers:38 crew:5),41 (passengers:37 crew:4),0,The cargo plane had just taken off from Juba Airport when it had difficulty gaining altitude and crashed into a hill about half a mile east of Runway 13.
ACCIDENT DETAILS,"November 21, 2015",1155,"Fox Glacier, South Valley, New Zealand",Alpine Adventures,?,Sightseeing,Aerospatiale AS 350B2 Ecureuil,ZK-HKU,1132,7 (passengers:6 crew:1),7 (passengers:6 crew:1),0,"The sightseeing helicopter crashed into a crevasse on Fox Glacier. The wreckage site was 2, 500 feet up the valley with debris scattered across hundreds of feet."
ACCIDENT DETAILS,"November 24, 2015",1015,"Near Igarka, Russia",Turuhan Avia,?,Igarka - Krasnyi Selkub,Mil MI-8T,RA-2561,98206821/59,26 (passengers:22 crew:4),15 (passengers:13 crew:2),0,"Contact with the helicopter, which was heading to an oil pumping station, was lost 15 minutes after taking off. One of the pilots and a mechanic were among the crew members killed."
ACCIDENT DETAILS,"December 22, 2015",0940,"Delhi, India",Border Security Force,?,Delhi - Ranchi,Beechcraft B200 Super King Air,VT-BSA,BB-1485,10 (passengers:9 crew:1),10 (passengers:9 crew:1),0,"Shortly after taking off, the pilot indicated they wanted to return to the airport. Soon after, the aircraft impacted terrain near Delhi Indira Gandhi Airport."
ACCIDENT DETAILS,"December 24, 2015",0835,"Mbuji, Congo",Services Air,?,Lubumbashi - Mbuji-Mayi,Airbus A-310-304F,9Q-CVH,413,4 (passengers:0 crew:4),0 (passengers:0 crew:0),8,"While landing at Mbuji-Mayi Airport, the cargo plane overran the runway and crashed into several houses."
